iteration	timestamp	val_bpb	artifact_bytes	status	description	reasoning
1	2026-03-21T05:00:49.579353	N/A	N/A	llm_error	Completions.create() got an unexpected keyword argument 'reasoning'	
2	2026-03-21T05:00:54.614321	N/A	N/A	llm_error	Completions.create() got an unexpected keyword argument 'reasoning'	
3	2026-03-21T05:00:59.640306	N/A	N/A	llm_error	Completions.create() got an unexpected keyword argument 'reasoning'	
4	2026-03-21T05:01:04.663196	N/A	N/A	llm_error	Completions.create() got an unexpected keyword argument 'reasoning'	
5	2026-03-21T05:01:09.687613	N/A	N/A	llm_error	Completions.create() got an unexpected keyword argument 'reasoning'	
6	2026-03-21T05:09:34.992746	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
7	2026-03-21T05:09:40.021107	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
8	2026-03-21T05:09:45.048138	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
9	2026-03-21T05:09:50.076502	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
10	2026-03-21T05:09:55.102195	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
11	2026-03-21T05:12:55.083377	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
12	2026-03-21T05:13:00.114142	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
13	2026-03-21T05:13:05.135981	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
14	2026-03-21T05:13:10.153896	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
15	2026-03-21T05:13:15.180472	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'response_format'	
16	2026-03-21T05:17:53.676540	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'text_format'	
17	2026-03-21T05:17:58.707529	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'text_format'	
18	2026-03-21T05:18:03.728847	N/A	N/A	llm_error	Responses.create() got an unexpected keyword argument 'text_format'	
19	2026-03-21T06:01:21.554476	N/A	N/A	crash	Add late warmdown STE QAT for the exact mixed int5/int6 export path (MLP int5; attention/bigram int6).	Diagnosis: All 18 prior iterations crashed at the API layer, so there is no model-side evidence against a substantive change. In the current script, the most likely remaining bottleneck is train/eval mismatch: optimization happens in float/bf16, but the final score is taken after 3% pruning plus aggressive mix | Hypothesis: Add late-stage quantization-aware training with a straight-through estimator on exactly the tensors that are exported as int5/int6: MLP weights at int5, attention/bigram weights at int6, while leaving fp16-kept tensors alone. Enabling it only once during warmdown should let the model adapt to rowwis | Expected: -0.0055 bpb. This is the highest-confidence path because the current SOTA script is already heavily compression-constrained, so recovering post-quantization loss is more plausible than adding capacity; late STE QAT commonly recovers roughly half of the PTQ gap on models this small, which should be in the ~0.004 to ~0.007 bpb range here. | CRASH: TIMEOUT: Experiment exceeded 25-minute hard limit (10 train + 10 eval + 5 buffer)
20	2026-03-21T06:31:04.372085	N/A	N/A	crash	Add late exact-path STE QAT for the mixed int5/int6 export scheme.	Diagnosis: All 19 prior iterations provide no model-side negative evidence: 18 died at the API layer and the last one crashed before a completed benchmark. In this script, the most likely bottleneck is train/export mismatch: optimization happens in float, but the scored artifact is after 3% pruning plus exact  | Hypothesis: Add late quantization-aware training that matches the exact export path: per-row int5 for MLP weights, per-row int6 for attention and bigram weights, while respecting the existing FP16-kept exceptions. Ramping this in over the last half of warmdown should let weights migrate onto quantization-friend | Expected: -0.006 bpb; exact-path late QAT on an aggressive mixed int5/int6 export usually recovers roughly 0.003-0.008 bpb on models of this scale, and this script currently evaluates the dequantized export rather than the float model. | CRASH: TIMEOUT: Experiment exceeded 25-minute hard limit (10 train + 10 eval + 5 buffer)
